"Industry","Position","Location","Source Company"
"Gen. Merch.","Gen. Mgr.","M.W.","P&amp;G"
"Food","V.P. Sls.","Seattle","Hain Celestial"
"Food","Dir. N.E.","Philly","Kraft"
"HBA","Cat. Merch Mgr.","S.E.","Campbell&rsquo;s"
"Gen. Merch.","Gen. Mgr.-Canada","Toronto","Cadbury"
"Gen. Merch.","Dir. Supply Chain","Atlanta","Unilever"
"Gen. Merch.","V.P. Wal-Mart","B&rsquo;Ville","General Mills"
"Beverage","V.P. Sls./Mkt.","Mid-Atl.","Gambrinus"
"Gen. Merch.","V.P. Mkt","Mid-Atl.","Unilever"
"Food","SVP. Sls.","Portland","Nestle"
"Gen. Merch.","V.P. Sls.","Chicago","Binney &amp; Smith"
"Beverage","Dir. Shopper Insights","L.A.","Mattel"
