"Age:","25",""
"Height:","5'5 - 5'9",""
"Weight:","115 - 130 lbs",""
"Build:","petite",""
"Hair:","long black","long black"
"Eye Color:","black","black"
"Breast Size:","normal","normal"
"Sex Pref:","bisexual","bisexual"
"Ethnicity:","latin american","latin american"
"Language:","EnglishItalianSpanish","EnglishItalianSpanish"
"Profile:","guys  are you dreaming about hot sex? then come to my show so we can have some fun together!","guys  are you dreaming about hot sex? then come to my show so we can have some fun together!"
"Turn Ons:","i love giving blow jobs to men and feel their big dicks slide down into my throat. there is no greater feeling for me than having their cum in my mouth. if you got turned on enter into my room. i can make your day.","i love giving blow jobs to men and feel their big dicks slide down into my throat. there is no greater feeling for me than having their cum in my mouth. if you got turned on enter into my room. i can make your day."
"Turn Offs:","real nymphos won't get turned off. well i'm one of them. play nice and we'll get along ;o)","real nymphos won't get turned off. well i'm one of them. play nice and we'll get along ;o)"
"NULL","AlexaBrunette Free Chat","AlexaBrunette Free Chat"
