"Country","Shipping cost","Currency","{Receive free shipping|For orders over}","Transit time"
"{|Belgium}","10","EUR","150-","1-3 days"
"Danmark","40","DKK","1.000-","1-3 days"
"Germany","10","EUR","150-","1-3 days"
"Schweiz","15","EUR","150-","1-4 days"
"Greece","20","EUR","150-","2-5 days"
"United Kingdom","10","GBP","150-","1-4 days"
"Spain","15","EUR","150-","1-4 days"
"Finland","10","EUR","150-","1-3 days"
"France","15","EUR","150-","1-4 days"
"Schweiz","15","EUR","150-","1-4 days"
"Italy","15","EUR","150-","1-4 days"
"Schweiz","15","EUR","150-","1-4 days"
"Luxembourg","15","EUR","150-","1-3 days"
"Netherlands","10","EUR","150-","1-3 days"
"Norway","80","NOK","1.000-","1-4 days"
"Other","50","EUR","300-","5 days"
"Portugal","15","EUR","150-","1-4 days"
"Sweden","70","SEK","1.000-","1-3 days"
"Austria","10","EUR","150-","1-3 days"
