"name","h&ouml;he","schartenh&ouml;he","dominanz","x-koordinate","y-koordinate","region","karte","mapplus","bericht"
"piz bernina","4049","2231","137.8","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"la spedla","4020","10","0.15","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz zupo","3996","406","2.3","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz bianco","3995","30","0.25","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz scercen","3971","89","0.7","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz argient","3945","99","0.5","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz roseg","3937","415","1.45","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"bellavista","3922","82","0.6","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz pal&uuml;","3900","217","2.1","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"bellavista mittelgipfel","3888","25","0.4","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz pal&uuml; ostgipfel","3882","32","0.5","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"crast ag&uuml;zza","3854","149","0.8","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz spinas","3823","15","0.6","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"bellavista ostgipfel","3804","17","0.5","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz morteratsch","3751","321","2","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz russein (t&ouml;di)","3614","1570","42.1","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz prievlus","3610","79","0.8","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz cambrena","3604","147","1.5","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz gl&uuml;schaint","3594","329","3.5","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"la sella westgipfel","3584","113","0.7","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"la sella ostgipfel","3564","87","0.2","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz tschierva","3545","210","1.7","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz sella","3517","176","1.3","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"dschimels","3501","50","0.4","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz d&#8217;arlas s&uuml;dgigfel","3467","39","0.6","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz varuna","3453","222","4","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz corvatsch","3451","383","5.4","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz tremoggia","3441","334","1.85","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz murtel","3433","50","0.6","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz dado","3432","61","0.85","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"stoc grond","3422","70","0.3","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz caral","3421","48","0.8","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"bifertenstock","3421","383","3.3","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz kesch","3418","1502","23.5","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"sasso rosso","3416","44","0.95","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"la muongia","3415","54","1.2","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz linard","3410","1028","24.9","NULL","NULL","NULL","1298 silvretta","NULL","NULL"
"rheinwaldhorn","3402","1337","35.1","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz da la fuorcla","3398","25","0.6","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"fluchthorn / piz fenga","3398","646","15.5","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"piz calderas","3397","1085","16.4","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz platta","3392","1117","11.6","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"cima di castello","3388","396","6.5","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"il chap&uuml;tschin","3386","166","1","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
