"Country","Bank name","SWIFT BIC","Currency"
"USA","Standard  Chartered Bank","SCBLUS33","USD"
"USA","Citibank  N.A.","CITIUS33","USD"
"Germany","Commerzbank  AG","COBADEFF","{EUR|CHF|USD}"
"Austria","Raiffeisen  Bank International AG","RZBAATWW","{EUR|USD}"
"Netherlands","Demir-Halk  Bank (Nederland)","DHBNNL2R","{EUR|CHF|GBP|JPY|USD}"
"Russia","Garanti  Bank Moscow","GABMRUMM","{RUB|EUR|USD}"
"Russia","YapiKredi  Bank Moscow CJS","YKBMRUMM","{RUB|USD|EUR}"
"Russia","CB  Anelik RU Co. Ltd.","&nbsp;","USD"
"Kazakhstan","Halyk  Bank Kazakhstan","HSBKKZKX","{USD|KZT}"
"Kazakhstan","JSC  ?Bankpozitiv-Kazakhstan?","DEMIKZKA","{KZT|USD|EUR}"
"China","Bank  of Communications Shanghai Branch","COMMCNSHSHI","CNY"
"Turkey","Turklandbank","TBNKTRIS","{EUR|CHF|TRY|USD}"
"Turkey","YapiveKrediBankasi  A.S.","YAPITRIS","{TRY|USD}"
"Turkey","Turkiye  Is Bankasi A.S.","ISBKTRIS","{USD|EUR|TRY}"
"Turkey","AsyaKatilimBankasi  A.S.","ASYATRIS","USD"
"Turkey","Alternatifbank  BakirkoyCharshisi Branch","ALFBTRIS","USD"
