"Competition","Event","Year","Time","Medal/Position"
"Olympic Games","200m Freestyle","2008","1:47.47","8th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7:05.92","6th"
"World Championships","200m Freestyle","2011","1:47.89","12th"
"&nbsp;","400m Freestyle","&nbsp;","3:49.91","18th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7:10.84","6th"
"&nbsp;","400m Freestyle","2009","3:46.75","14th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7:05.67","7th"
"&nbsp;","400m Freestyle","2007","3.50.07","15th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7.11.28","4th"
"Commonwealth Games","200m Freestyle","2010","1:47.88","GOLD"
"&nbsp;","400m Freestyle","&nbsp;","3:51.74","6th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7:14.02","SILVER"
"&nbsp;","200m Freestyle","2006","1.50.50","14th"
"&nbsp;","400m Freestyle","&nbsp;","3.52.69","6th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7.14.40","SILVER"
"European Championships","200m Freestyle","2010","1:47.60","5th"
"&nbsp;","400m Freestyle","&nbsp;","3:49.13","6th"
"&nbsp;","4x200m Freestyle Relay","&nbsp;","7:16.33","4th"
"&nbsp;","200m Freestyle","2006","1.49.55","13th"
"&nbsp;","400m Freestyle","&nbsp;","3.53.63","20th"
"World Short Course Championships","400m Freestyle","2008","3:40.22","BRONZE"
"European Junior Championships","200m Freestyle","2006","1.49.26","GOLD"
"&nbsp;","4x100m Freestyle Relay","&nbsp;","3.25.59","SILVER"
"&nbsp;","4x100m Medley Relay","&nbsp;","3.48.88","BRONZE"
"&nbsp;","400m Freestyle","2005","3.55.18","SILVER"
