"label","Geburtsdatum"
"Mark Flowerdew","1971-06-04"
"Mehmet Husnu","1970-02-08"
"Murdo MacLeod (snooker player)","1947-01-14"
"Nick Terry",""
"Nigel Gilbert (snooker player)","1959-03-20"
"Paul Mifsud",""
"Sefton Payne","1971-08-22"
"Steve Campbell (snooker player)","1966-03-07"
"Steve Duggan","1958-04-10"
"Лонгуорт, Стив","1948-07-27"
"Adam Davies (snooker player)","1987-07-27"
"Adrian Rosa","1971-01-17"
"Bradley Jones (snooker player)","1974-05-16"
"Brady Gollan","1965-03-28"
"Brian Salmon",""
"Chris Scanlon",""
"Colin Roscoe","1945-06-30"
"Craig Butler (snooker player)","1974-04-30"
"Craig MacGillivray (snooker player)","1972-07-03"
"Darren Clarke (snooker player)","1970-04-17"
