"Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID","area code type","label"
"http://barapindpk.blogspot.com","47767447","680247049","http://dbpedia.org/resource/List_of_dialling_codes_in_Pakistan","Amruka"
"","46831557","670808280","","Bexhövede"
"http://www.dong.daegu.kr/","47344404","677915966","","Dongchon"
"http://hooghlyprd.org/communication/gp_office.php?var=GANGADHARPUR","46405406","670174937","","Gangadharpur"
"http://guryongpo.ipohang.org/","47027160","667723249","","Guryongpo"
"http://gbgs.go.kr/dong15/","47021528","670782960","","Hayang"
"http://heunghae.ipohang.org/","47029108","670783080","","Heunghae"
"http://www.dalseong.daegu.kr/town/hwawon/","47014745","667580102","","Hwawon-eup"
"http://gbgs.go.kr/dong14/","47021401","668358999","","Jillyang"
"","46490876","682526875","","Nanchari Madur"
"http://www.dalseong.daegu.kr/town/nonggong/","47014380","667580168","","Nongong"
"http://ocheon.ipohang.org/","47028902","667749525","","Ocheon-eup"
"http://www.munisanignacio.gob.pe","47677301","678723211","","San Ignacio, Perú"
"http://tlachichila.com.mx","47914137","682474164","","Tlachichila"
"http://yeonil.ipohang.org/","47027287","670782966","","Yeonil"
"http://city.bonghwa.go.kr/open-content/ko/bonghwa-eup/","47075474","668593096","","Bonghwa-eup"
"http://www.borum-by.dk/","47555127","681444606","","Borum"
"http://barapindpk.blogspot.com","47612399","677752782","http://dbpedia.org/resource/List_of_dialling_codes_in_Pakistan","Chak Amru"
"http://www.goryeong.go.kr/program/publicsil/default2.asp?sec=twn001","47056755","668262644","","Daegaya-eup"
"","47099315","669120302","","Empire Flat, Arizona"
