"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Sailing at the 2000 Summer Olympics – Laser","37598458","633771162","http://www.sailing.org/olympics2000/info2000/"
"Tiro ai Giochi della VII Olimpiade - Pistola libera individuale","14871635","637057555","http://olympic.w.interia.pl/"
"Olympische Sommerspiele 2012/Schießen – Doppeltrap (Männer)","36508000","575313249","http://www.london2012.com/shooting/event/men-double-trap/index.html"
"Salto con gli sci ai XXI Giochi olimpici invernali - Trampolino lungo","24972891","597107595","http://www.vancouver2010.com/;"
"Snowboarding at the 1998 Winter Olympics – Women's giant slalom","41667113","615407736","http://www.sports-reference.com/olympics/winter/1998/SNB/womens-giant-slalom.html"
"Speed skating at the 1932 Winter Olympics","973059","629415669",""
"Swimming at the 1904 Summer Olympics – Men's 100 yard backstroke","8515671","634784840","http://olympic.w.interia.pl/"
"Swimming at the 2004 Summer Olympics – Men's 4 × 100 metre medley relay","914748","677706119","http://www.la84foundation.org/5va/reports_frmst.htm"
"Lotta libera ai Giochi della VIII Olimpiade - Pesi massimi","36580561","573021738",""
"Wrestling at the 2014 Summer Youth Olympics","","",""
"Golf at the 1904 Summer Olympics – Men's team","8487930","642442746","http://comdat.w.interia.pl/1904STLnr2.pdf"
"Triathlon at the 2008 Summer Olympics","","",""
"2018 Winter Olympics","","",""
"Speed skating at the 1928 Winter Olympics","963616","566336268",""
"Water polo at the 1908 Summer Olympics","","",""
"Athletics at the 2004 Summer Olympics – Men's 10,000 metres","913293","551252253","http://www.iaaf.org/oly04/results/byevent.html"
"Athletics at the 2004 Summer Olympics – Men's 100 metres","913254","681497777","http://www.iaaf.org/oly04/results/byevent.html"
"Athletics at the 2004 Summer Olympics – Men's 1500 metres","913284","682785770","http://www.la84foundation.org/5va/reports_frmst.htm"
"Athletics at the 2004 Summer Olympics – Men's 200 metres","913264","651736157","http://www.la84foundation.org/5va/reports_frmst.htm"
"Athletics at the 2004 Summer Olympics – Men's 20 kilometres walk","913307","629822839","http://www.iaaf.org/OLY04/results/gender=M/discipline=20KR/combCode=hash/roundCode=f/index.html"
