"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Zaporizhia","Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia"
"","Don Kirkham (cyclist)","http://dbpedia.org/resource/Lyndhurst,_New_South_Wales"
"http://dbpedia.org/resource/Bratislava","Dávid Ivan","http://dbpedia.org/resource/Bratislava"
"http://dbpedia.org/resource/New_Jersey","Ed Murphy","http://dbpedia.org/resource/New_Jersey"
"","Eden Stiles","http://dbpedia.org/resource/United_States"
"Montevideo, Uruguay","Elbio Álvarez","http://dbpedia.org/resource/Montevideo"
"Vigo, Spain","Emilio López Fernández","http://dbpedia.org/resource/Vigo"
"http://dbpedia.org/resource/Northcote,_Victoria","Ernest Bainbridge","http://dbpedia.org/resource/Northcote,_Victoria"
"http://dbpedia.org/resource/Saskatchewan","Evan Neufeldt","http://dbpedia.org/resource/Saskatchewan"
"http://dbpedia.org/resource/Nice","Fabio Quartararo","http://dbpedia.org/resource/Nice"
"http://dbpedia.org/resource/Rotorua","Faith Van Duin","http://dbpedia.org/resource/Rotorua"
"http://dbpedia.org/resource/Monclova","Flyer (wrestler)","http://dbpedia.org/resource/Monclova"
"Bendigo, Australia","Frankie Thomas (cyclist)","http://dbpedia.org/resource/Bendigo"
"","Freddie Joe Steinmark",""
"","Gareth Allen",""
"Lauro de Freitas, Brazil","Geferson","http://dbpedia.org/resource/Lauro_de_Freitas"
"","George Orange","http://dbpedia.org/resource/Yorkshire"
"http://dbpedia.org/resource/Seoul","具聖潤","http://dbpedia.org/resource/Seoul"
"Reggio Emilia, Italy","هاشم مستور","http://dbpedia.org/resource/Reggio_Emilia"
"http://dbpedia.org/resource/Jamaica","Heather Foster","http://dbpedia.org/resource/Jamaica"
