"birth place","label","Geburtsort"
"Sandton, South Africa","Dean O'Brien (tennis)","http://dbpedia.org/resource/Sandton"
"Cali, Colombia","Alejandro Gómez (tennis)","http://dbpedia.org/resource/Cali"
"","Ayla Aksu",""
"","Camelia Hristea",""
"Livingston, New Jersey, USA","Caroline Stoll","http://dbpedia.org/resource/Livingston,_New_Jersey"
"Bucaramanga, Colombia","Daniel Elahi Galán","http://dbpedia.org/resource/Bucaramanga"
"Bucharest, Romania","Elena Ruse","http://dbpedia.org/resource/Bucharest"
"Budapest, Hungary","Fanny Stollár","http://dbpedia.org/resource/Budapest"
"Lidingö, Sweden","Fred Simonsson","http://dbpedia.org/resource/Lidingö"
"","Irina Maria Bara",""
"Bronxville, New York, United States","Jamie Loeb","http://dbpedia.org/resource/Bronxville,_New_York"
"","Jaqueline Cristian",""
"","Jonathan Mridha",""
"","Kateřina Kramperová",""
"Newport News, Virginia, USA","Leigh-Anne Thompson","http://dbpedia.org/resource/Newport_News,_Virginia"
"","Maika Tanpoco","http://dbpedia.org/resource/Angeles,_Philippines"
"","Malin Ulvefeldt",""
"Skara, Sweden","Mikael Ymer","http://dbpedia.org/resource/Skara"
"","Patricia Maria Ţig",""
"St. Joseph, Michigan, United States","瑞利·奧普卡","http://dbpedia.org/resource/St._Joseph,_Michigan"
