"Geburtsort","Sterbeort","Sterbedatum","death place","label"
"http://dbpedia.org/resource/Bisceglie","http://dbpedia.org/resource/Benevento","1902-01-18","http://dbpedia.org/resource/Benevento","Donato Maria dell’Olio"
"","","","","André-Hercule de Fleury"
"","","","","Avery Dulles"
"http://dbpedia.org/resource/Pieve_di_Soligo","","","","Beniamino Stella"
"","","","","Elia Dalla Costa"
"","","","","Gabriel Zubeir Wako"
"","","","","Manuel Gonçalves Cerejeira"
"","","","","Marcelo Spínola y Maestre"
"","","","","Nicholas Wiseman"
"","","","","Pietro Respighi"
"","","","","Raúl Silva Henríquez"
"","","","","Seán Patrick O'Malley"
"","","","","Stanisław Nagy"
"","","","","William Allen (cardinal)"
"","","","","Fabrizio Turriozzi"
"","","","","James Francis McIntyre"
"","","","","Mario Francesco Pompedda"
"","","","","Vincenzo Fagiolo"
"","","","","António Ribeiro"
"","","","","Michele Bonelli"
