"label","reason","Wikipage revision ID","date","Wikipage page ID"
"Trewartha","citation style and article layout need improvement","649139488","October 2014","5875624"
"Phùng","","512967695","","13138538"
"Undrakonda","","601776370","","13123579"
"Coussé","","569380544","","13251548"
"Gardoqui","","554003351","","13012641"
"Ridyard","","630031668","","13195251"
"Toner (surname)","","419291048","","13605866"
"Topete","","505517322","","13312394"
"Jeník","","569627710","","15780019"
"Klingemann","","620625920","","15755815"
"Thakkar","","677694003","","15580151"
"Karsgaard","","626122949","","15883117"
"Maisnam","","681846960","","15907633"
"Mencken","","545179090","","16216066"
"Montanaro (surname)","","482314809","","15976154"
"Perea","","530902778","","15544434"
"Spanish-Moors surname","","663341162","","15820168"
"Blicavs","","619243625","","43280467"
"Savnik (surname)","","604283031","","3969457"
"Adamiak","","678018530","","43541036"
