"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"987528","656001120","Rowing at the 2004 Summer Olympics – Men's quadruple sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"986128","611647621","Rowing at the 2004 Summer Olympics – Men's single sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"987537","606052255","Rowing at the 2004 Summer Olympics – Women's double sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"987541","651365277","Rowing at the 2004 Summer Olympics – Women's eight","http://www.la84foundation.org/5va/reports_frmst.htm"
"987538","551253369","Rowing at the 2004 Summer Olympics – Women's lightweight double sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"987540","551253375","Rowing at the 2004 Summer Olympics – Women's quadruple sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"987536","585801989","Rowing at the 2004 Summer Olympics – Women's single sculls","http://www.la84foundation.org/5va/reports_frmst.htm"
"","","Rugby union at the 1908 Summer Olympics",""
"973021","566336390","Speed skating at the 1924 Winter Olympics",""
"973106","589882430","Speed skating at the 1936 Winter Olympics",""
"973895","566335993","Speed skating at the 1948 Winter Olympics",""
"975005","595101200","Speed skating at the 1952 Winter Olympics",""
"977515","566335772","Speed skating at the 1956 Winter Olympics",""
"977417","","Speed skating at the 1960 Winter Olympics",""
"997064","","Speed skating at the 1964 Winter Olympics",""
"911601","682051265","Volleyball at the 2004 Summer Olympics – Women's tournament",""
"930185","682987397","Water motorsports at the 1908 Summer Olympics",""
"4584145","647232971","Athletics at the 1908 Summer Olympics – Men's 3500 metres walk","http://users.skynet.be/hermandw/olymp/ath1908.html"
"12799194","634555826","Atletica leggera ai Giochi della VII Olimpiade - Cross a squadre","http://olympic.w.interia.pl/"
"20189801","673611725","Olympische Sommerspiele 1924/Leichtathletik – 200 m (Männer)","http://olympic.w.interia.pl/"
