"Geburtsort","birth place","label"
"http://dbpedia.org/resource/East_Helena,_Montana","http://dbpedia.org/resource/East_Helena,_Montana","Casey Anderson (naturalist)"
"http://dbpedia.org/resource/Aarschot","http://dbpedia.org/resource/Aarschot","Goedele Liekens"
"http://dbpedia.org/resource/New_Hampshire","","Skip Kelly"
"","","The James Cowen Radio Show"
"http://dbpedia.org/resource/Anambra","","Adaora Onyechere"
"","New Delhi","Afshan Anjum"
"http://dbpedia.org/resource/Alcala,_Pangasinan","","Papa Jack"
"http://dbpedia.org/resource/Limassol","","Emilia Papadopoulos"
"http://dbpedia.org/resource/Lagos","","Mozez Praiz"
"","","Amberley Lobo"
"","","Dori Monson"
"http://dbpedia.org/resource/Pennsylvania","","Egypt Sherrod"
"","","Goodman Ace"
"","","Ira Flatow"
"http://dbpedia.org/resource/Cumbria","","Joe Maiden"
"","","John Bell (radio personality)"
"","","Julio Sánchez Cristo"
"","","Leo Laporte"
"","","Mark Radcliffe"
"","","Steve Wright (DJ)"
