"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://facebook.com/theatresurjya","Theatre Surjya","675306551","46779721"
"http://www.tobincenter.org","Tobin Center for the Performing Arts","672385350","46791586"
"http://teatrulnationalbalti.md/ro/","Национальный театр имени Василе Александри","672797806","47228754"
"","Red Eye Theater","675485058","47449924"
"","Teatro Dante (Sansepolcro)","","47449515"
"","Comedy Theatre (New York City)","","47456754"
"","Loew's Valencia Theatre","680940235","47728352"
"","Ulger (theater)","683561197","47976699"
"","ArcLight Hollywood","",""
"http://atriumcinemas.com.pk/","Atrium Cinemas","617742453","38760228"
"","Capitol Center for the Arts","",""
"","Carnegie Hall","",""
"","Colonial Theatre (Boston)","",""
"","Copley Symphony Hall","",""
"","Chichester Festival Theatre","",""
"","Classic Stage Company","",""
"http://archives.nypl.org/the/21527","Empire Theatre (41st Street)","632995690","39292036"
"","Eugene O'Neill Theater Center","",""
"","Geffen Playhouse","",""
"http://trustarts.org/visit/facilities/harris/","Harris Theater (Pittsburgh)","635337150","5259580"
