"label","Wikipage page ID","wind site elevation","Wikipage revision ID","Link from a Wikipage to an external page"
"Block Island Wind Farm","46573163","0","680653954","http://www.4coffshore.com/windfarms/block-island-wind-farm-united-states-us12.html"
"Ilijan Combined-Cycle Power Plant","46569638","","662593121","http://www.kepcophilippines.com/"
"Mystic Generating Station","46561015","","679613031","http://www.exeloncorp.com/powerplants/mystic/Pages/profile.aspx"
"Redstone Solar Thermal Power","46927571","","679354185","http://www.solarreserve.com/"
"Solar Star","46883096","","668725192","http://us.sunpower.com/utility-scale-solar-power-plants/solar-energy-projects/solar-star-projects/"
"Stony Brook Power Plant","46674699","","661963173","http://www.mmwec.org/stony-brook.html"
"Tidal Lagoon Swansea Bay","47347897","","673328842","http://www.tidallagoonswanseabay.com/"
"Copiapó Solar Project","47618045","","679515889","http://www.solarreserve.com/"
"Offshore-Windpark Gemini","45341752","","680325265","http://geminiwindfarm.com/"
"Madurankuliya Wind Farm","45452656","","669389992","http://www.windforce.lk/power-projects/daily-life-energy.html"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
