"Wikipage revision ID","label","Wikipage page ID"
"659859955","Caséine bêta","14796408"
"","Calcium-activated chloride channel",""
"681429543","Calcium release activated channel","1228646"
"659861932","Calcyphosin","15416887"
"659862420","Calpastatina","14725967"
"659866285","Caveolin 2","15595574"
"679296326","Cholecystokinin","533568"
"603768430","Cycle (gene)","39042642"
"678773325","Cytolethal distending toxin","32240777"
"","Dermcidin",""
"674826824","Diablo (proteina)","14690503"
"","DnaB helicase",""
"591127083","EAL domain","32644520"
"","Elektronentransferierendes Flavoprotein",""
"591196005","Emopamil binding protein","6703615"
"673955090","Neuronenspezifische Enolase","14756554"
"","Eukaryotic release factors",""
"674197308","FLT1","14075504"
"674194287","Factor V","1557752"
"675900781","Factor X","1555308"
