"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Harness racing","http://harnesslink.com/harnesscentral/","189221","678639985"
"Motorcycle speedway","","",""
"Women's lacrosse","","",""
"Auskick","","",""
"Акватлон","http://www.ruf.ru/kak-voznik-akvatlon.html","36894143","643481827"
"Nadan Panthu Kali","","",""
"Pesäpallo","","",""
"Tchoukball","","",""
"Mergulho à distância","","",""
"Grasstrack","http://www.acu.org.uk/","5830275","682226510"
"Table football","","",""
"オートレース","http://autorace.jp/guide/en/index.html","14027960","667853058"
"Women's rugby league","http://members.optusnet.com.au/smwrl/","10516709","671808831"
"Dutch Olympic Sailing Team","http://www.kustvaartforum.com/viewtopic.php?p=76892","41741350","659766989"
"Laser tag","","",""
"Muggle quidditch","","8306520","683417871"
"Australian rodeo","","",""
"Canoe orienteering","","",""
"Composite rules shinty–hurling","","",""
"Pingpongo","http://www.antipodescafe.org/pingpongo","43724846","678741084"
