"label","Geburtsort","birth place"
"Alan Aguerre","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Alan Beards","http://dbpedia.org/resource/Normanton,_West_Yorkshire","Normanton, England"
"Aliko Bala","http://dbpedia.org/resource/Jos","http://dbpedia.org/resource/Jos"
"Antonio Raillo","http://dbpedia.org/resource/Córdoba,_Andalusia","Córdoba, Spain"
"Bruno Antonio dos Santos","http://dbpedia.org/resource/Jaraguá_do_Sul","Jaraguá do Sul, Brazil"
"Bruno Brigido","http://dbpedia.org/resource/Criciúma","Criciúma, Brazil"
"Bárður Hansen","http://dbpedia.org/resource/Tórshavn","http://dbpedia.org/resource/Tórshavn"
"Cristian Bocșan","http://dbpedia.org/resource/Romania","http://dbpedia.org/resource/Romania"
"Damià Sabater","http://dbpedia.org/resource/Palma,_Majorca","Palma, Spain"
"Игнатенко, Данил Игоревич","http://dbpedia.org/resource/Zaporizhia","http://dbpedia.org/resource/Zaporizhia"
"Diego Matías Rodríguez","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Diogo Sodré","http://dbpedia.org/resource/São_José_dos_Campos","São José dos Campos, Brazil"
"Dmytro Anatoliyovych Osadchyi","http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine"
"Dmytro Bilonoh","http://dbpedia.org/resource/Cherkasy","http://dbpedia.org/resource/Cherkasy"
"Dmytro Ivanisenya","http://dbpedia.org/resource/Ukraine",""
"Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia","http://dbpedia.org/resource/Zaporizhia"
"Dávid Ivan","http://dbpedia.org/resource/Bratislava","http://dbpedia.org/resource/Bratislava"
"Elbio Álvarez","http://dbpedia.org/resource/Montevideo","Montevideo, Uruguay"
"Emilio López Fernández","http://dbpedia.org/resource/Vigo","Vigo, Spain"
"Geferson","http://dbpedia.org/resource/Lauro_de_Freitas","Lauro de Freitas, Brazil"
