"coordinates display","Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label","coordinates region"
"inline,title","https://www.facebook.com/IdaOutanane","683622130","47681951","Ida Outanane","MA"
"","","680717251","47796832","Nickelville, Texas",""
"","http://region15.tehran.ir/","670790082","47099407","Town of Masoudieh",""
"","","","","Abazai",""
"","","","","Abdul Khel",""
"","","","","Adam Sahaba",""
"","","","","Adavad",""
"","","","","Adda-Douéni",""
"","","","","Adirampattinam",""
"","","","","Adra, Purulia",""
"","","","","Agra Kuz",""
"","","","","Ahmadpur",""
"","","","","Air Itam",""
"","","","","Airwa",""
"","","","","Ajmera",""
"","","","","Akalgarh, India",""
"","","","","Akathumuri",""
"","","","","Akkaraipattu",""
"","","","","Akluj",""
"","","","","Akodia",""
