"label","Wikipage revision ID","county","Wikipage page ID"
"Idaho State Highway 162","682218214","Idaho","47885427"
"Idaho State Highway 97","682009832","Kootenai","47884700"
"Indiana State Road 37A","682108053","","47867164"
"India–Myanmar–Thailand Trilateral Highway","682833495","","47584872"
"Interstate 70 Business (Columbia, Missouri)","679019227","","47661511"
"Jakarta–Merak Toll Road","683759907","","47782572"
"Jalan Kawasan Perindustrian Gebeng","678322650","","47654175"
"Kentucky Route 135","668862734","","47081323"
"Kentucky Route 136","668862964","","47085397"
"Kentucky Route 137","669125134","","47086071"
"Kentucky Route 138","669081365","","47087433"
"Kentucky Route 140","668863705","","47087739"
"Kentucky Route 141","669144756","","47093715"
"Kentucky Route 142","669144811","","47097609"
"Kentucky Route 143","669584063","","47118573"
"Kentucky Route 145","669584240","","47118660"
"Kentucky Route 147","669584339","","47119098"
"Kentucky Route 149","670006616","","47137687"
"Kentucky Route 151","670006733","","47139725"
"Kentucky Route 152","","","47139909"
