"label","Geburtsdatum"
"Alan Rees (racing driver)","1938-01-12"
"Alfonso Thiele",""
"Bill Schindler",""
"Christijan Albers",""
"Eddie Sachs",""
"Giovanni Lavaggi",""
"JJ Lehto",""
"Jacques Villeneuve (racing driver, born 1953)",""
"Jim Crawford (racing driver)",""
"Jim Hall (racing driver)",""
"John Rhodes (racing driver)",""
"Ludwig Fischer (racing driver)",""
"Luis Pérez-Sala",""
"Mike Parkes",""
"Peter Westbury",""
"Rob Schroeder",""
"Tony Bettenhausen",""
"Luigi Fagioli",""
"Érik Comas",""
"ويل ستيفنز",""
