"label","Wikipage page ID","Wikipage revision ID"
"Team FixIT.no","45655256","674206815"
"Team Morgan Sharpe","47935704","682959413"
"Équipe Cycliste de l’Armée de Terre","45525624",""
"Cibel","45619811","661429774"
"Équipe cycliste Lupus Racing","45525625","681932026"
"Team Ecuador","45545948","668786963"
"Équipe cycliste Navitas Satalyst Racing","45525535",""
"Équipe cycliste ONE","45378711",""
"Shimano Racing Team","45586324","651012899"
"Équipe cycliste Colpack","47573600","676951805"
"Team Roompot","",""
"Team Ukyo","45576516","671822921"
"Agritubel","",""
"Avanti Racing Team","29067480","666637897"
"BMC Racing Team","",""
"Bardiani CSF","7114317","677163015"
"Crédit Agricole (cycling team)","",""
"L.P.R. Brakes-Farnese Vini","",""
"Lotto-Soudal","2280479",""
"Tinkoff-Saxo","",""
