"classis","label","binomial","Wikipage page ID","Wikipage revision ID","familia"
"http://dbpedia.org/resource/Actinopterygii","Amamiichthys","Amamiichthys matsubarai","47643115","679374227","http://dbpedia.org/resource/Sparidae"
"http://dbpedia.org/resource/Actinopterygii","Amphiprion barberi","Amphiprion barberi","47695459","683935816","http://dbpedia.org/resource/Pomacentridae"
"","Chagos-Anemonenfisch","","47667291","683935729",""
"","Mauritius-Anemonenfisch","","47667388","683935214",""
"","Amphiprion fuscocaudatus","Amphiprion fuscocaudatus","47699256","683935625",""
"","Amphiprion latifasciatus","Amphiprion latifasciatus","47705373","683935575",""
"","Amphiprion leucokranos","Amphiprion leucokranos","47714099","683935787",""
"","Amphiprion omanensis","Amphiprion omanensis","47715870","683935910",""
"","Amphiprion pacificus","Amphiprion pacificus","47717301","683935994",""
"","Amphiprion thiellei","Amphiprion thiellei","47717690","682510349",""
"","Aulotrachichthys prosthemius","","47100158","669018872",""
"http://dbpedia.org/resource/Actinopterygii","Bathygadidae","","47728405","679745955","Bathygadidae"
"http://dbpedia.org/resource/Actinopterygii","Bidyanus welchi","Bidyanus welchi","47753437","680006231",""
"","Bostrychus microphthalmus","","47115902","682136815",""
"","Chaetodon trichrous","","47834531","681299869",""
"http://dbpedia.org/resource/Actinopterygii","Cheimerius","Cheimerius nufar","47642981","682850174",""
"","Chela cachius","","47571976","676993255",""
"http://dbpedia.org/resource/Actinopterygii","Chelon bispinosus","Chelon bispinosus","47783595","680509197","http://dbpedia.org/resource/Mullet_(fish)"
"http://dbpedia.org/resource/Actinopterygii","Chelon parsia","Chelon parsia","47783671","680510218","http://dbpedia.org/resource/Mullet_(fish)"
"http://dbpedia.org/resource/Actinopterygii","Chiapaheros","Chiapaheros grammodes","47580337","677244787","http://dbpedia.org/resource/Cichlid"
