"Wikipage page ID","Wikipage revision ID","label"
"47535797","676323052","Poble Lliure"
"47280578","","Popular Unity Candidacy - Constituent Call"
"45410678","677220882","Hak ve Özgürlükler Partisi"
"45410962","656169303","Rights and Justice Party"
"47080410","671975824","Samsø Common List"
"45455857","682266722","Sarawak Workers Party"
"47243802","682553297","Social Democrats (Ireland)"
"47534938","679874519","Partit Socialista d'Alliberament Nacional dels Països Catalans"
"45372777","679880722","Spanish Socialist Workers' Party of the Madrid Community"
"47291740","683644892","Junts pel Sí"
"45583681","675632650","Tosi List for Veneto"
"47522337","","樹黨"
"47403302","674529140","United Reform Action"
"47223042","671662604","Ærø Plus"
"47192712","682878270","Australian Labor Party (Australian Capital Territory Branch)"
"47213677","673198175","Auzolan"
"47551576","676632996","Catalunya Lliure"
"47510115","675861262","Acción Comunista"
"47206999","680050677","Células Comunistas"
"47281561","672166890","Democratic Unity Alliance"
