"Jahre","Anzahl der erzielten Tore","number of matches or caps","label","Team"
"1992","19","35","","http://dbpedia.org/resource/FC_Shirak"
"1994","12","21","","http://dbpedia.org/resource/FC_Pyunik"
"1994","","","","http://dbpedia.org/resource/Homenetmen_Beirut_F.C."
"1997","0","10","","http://dbpedia.org/resource/FC_Yerevan"
"1999","5","27","","http://dbpedia.org/resource/Erebuni_FC"
"2000","4","32","","http://dbpedia.org/resource/FC_Mika"
"","","","","http://dbpedia.org/resource/Olympique_de_Marseille"
"2011","11","44","","http://dbpedia.org/resource/Olympique_de_Marseille"
"2015","2","6","","http://dbpedia.org/resource/FK_Dinamo_Vranje"
"","","","","http://dbpedia.org/resource/AZ_Alkmaar"
"2015","0","1","","http://dbpedia.org/resource/AZ_Alkmaar"
"","","","","http://dbpedia.org/resource/St._Johnstone_F.C."
"","","","","http://dbpedia.org/resource/Accrington_Stanley_F.C._(1891)"
"","","","","http://dbpedia.org/resource/East_Stirlingshire_F.C."
"1901","3","9","","http://dbpedia.org/resource/Everton_F.C."
"1902","43","99","","http://dbpedia.org/resource/Blackburn_Rovers_F.C."
"1907","22","30","","http://dbpedia.org/resource/Brentford_F.C."
"1908","6","15","","http://dbpedia.org/resource/Leeds_City_F.C."
"","","","","http://dbpedia.org/resource/Portsmouth_F.C."
"","","","","http://dbpedia.org/resource/Leith_Athletic_F.C."
