"Wikipage page ID","Wikipage revision ID","label"
"1516228","661750965","Internal jugular vein"
"7980143","666119010","وريد معدي أيسر"
"","","Plantar metatarsal veins"
"8342251","666120112","وريد معدي أيمن"
"7887968","635439217","Superficial epigastric vein"
"","","Superior sagittal sinus"
"4604757","666117994","Angular vein"
"","","وريد معثكلي"
"","","وريد بنكرياسي اثنا عشري"
"","","وريد رحمي"
"","","Common digital veins"
"","","Occipital sinus"
"","","Middle cardiac vein"
"","","وريد صائمي"
"2072649","634974613","Femoral vein"
"","","Fibular veins"
"","","Lingual veins"
"2374342","664125038","Axillary vein"
"","","Brachial veins"
"","","Inferior mesenteric vein"
