"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Lisbon","Lisbon, Portugal","Hildeberto Pereira","1996-03-02"
"http://dbpedia.org/resource/Nyzhankovychi","","Ihor Duts",""
"http://dbpedia.org/resource/Spain","http://dbpedia.org/resource/Spain","Iosune Murillo Elkano","1980-05-14"
"http://dbpedia.org/resource/London_Borough_of_Brent","Brent, England","James Akintunde","1996-03-29"
"http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Adelaide","James Glasspool",""
"http://dbpedia.org/resource/Almenara,_Castellón","Almenara, Spain","Jaume Domènech","1990-11-05"
"","","Jayson Patino","1983-07-30"
"http://dbpedia.org/resource/British_Columbia","http://dbpedia.org/resource/British_Columbia","Jazmyne Denhollander","1994-01-08"
"http://dbpedia.org/resource/Salvador,_Bahia","Salvador, Brazil","Jean Paulo Fernandes Filho","1995-10-26"
"http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","ジャーモール・チャーロ",""
"http://dbpedia.org/resource/Heerlen","http://dbpedia.org/resource/Heerlen","Jessica Blaszka","1992-08-05"
"http://dbpedia.org/resource/Ontario","","Jessie Gregory",""
"http://dbpedia.org/resource/Sheffield","Sheffield, England","Jessie Walker","1994-09-20"
"","http://dbpedia.org/resource/Scotland","Jimmy Gunn (golfer)",""
"","","Joan McKowen",""
"http://dbpedia.org/resource/Bolton","Bolton, England","Joel Coleman","1995-09-26"
"http://dbpedia.org/resource/Kirkdale,_Liverpool","Kirkdale, England","Кенни, Джонджо","1997-03-15"
"http://dbpedia.org/resource/Dallas","http://dbpedia.org/resource/Dallas","Jordan Mickey","1994-07-09"
"http://dbpedia.org/resource/Getafe","Getafe, Spain","José Antonio Miranda","1998-07-22"
"http://dbpedia.org/resource/Portugal","","José Monroy",""
