"label","Wikipage revision ID","familia","binomial authority","genus","color","Wikipage page ID","binomial","domain"
"Actinomyces neuii","679502255","http://dbpedia.org/resource/Actinomycetaceae","1985","Actinomyces","lightgrey","47252764","Actinomyces neuii","http://dbpedia.org/resource/Bacteria"
"Meiothermus timidus","675376017","http://dbpedia.org/resource/Thermaceae","","","lightgrey","47237837","","http://dbpedia.org/resource/Bacteria"
"Sporomusa ovata","676874154","http://dbpedia.org/resource/Negativicutes","Möller et al. 1984","Sporomusa","","47523875","Sporomusa ovata","http://dbpedia.org/resource/Bacteria"
"Coprococcus eutactus","683793126","Lachnospiraceae","Holdeman & Moore, 1974","Coprococcus","","48009177","Coprococcus eutactus","http://dbpedia.org/resource/Bacteria"
"Sphaerisporangium cinnabarinum","681644678","http://dbpedia.org/resource/Streptosporangiaceae","","Sphaerisporangium","lightgrey","47862592","","http://dbpedia.org/resource/Bacteria"
"Sphaerisporangium melleum","681644828","http://dbpedia.org/resource/Streptosporangiaceae","","Sphaerisporangium","lightgrey","47862572","","http://dbpedia.org/resource/Bacteria"
"Sphaerisporangium rubeum","681644589","http://dbpedia.org/resource/Streptosporangiaceae","","Sphaerisporangium","lightgrey","47862583","","http://dbpedia.org/resource/Bacteria"
"Proteus (bacterium)","676107231","","","","","663974","",""
"Sporichthya","679087154","Sporichthyaceae (Rainey et al. 1997 emend. Zhi et al. 2009)","","Sporichthya (Lechevalier et al. 1968)","","34004526","","http://dbpedia.org/resource/Bacteria"
"Tetracoccus (bacterium)","637046529","","","","","12861495","",""
"真正細菌","683386317","","","","","9028799","",""
"Planctomycetes","678161052","","","","","954774","",""
"Rickettsia rickettsii","","","","","","993373","",""
"Alkalibacter","678460537","http://dbpedia.org/resource/Carnobacteriaceae","Ntougias and Russell 2001","Alkalibacterium","","31911496","","http://dbpedia.org/resource/Bacteria"
"Coriobacteriaceae","659887367","","","","","3530476","",""
"Stappia","675093091","","","","","12861417","",""
"Citreicella","675078402","","","","","12857535","",""
"Propionibacterineae","679019756","","","","","34037508","","http://dbpedia.org/resource/Bacteria"
"Syntrophus buswellii","651612980","","Mountfort et al. 1984","","","40421582","Syntrophus buswellii","http://dbpedia.org/resource/Bacteria"
"Thermoanaerobacter mathranii","495510273","http://dbpedia.org/resource/Thermoanaerobacteraceae","","Thermoanaerobacter","","35997067","","http://dbpedia.org/resource/Bacteria"
