"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Struga","Nikola Kosteski","http://dbpedia.org/resource/Struga"
"http://dbpedia.org/resource/Brisbane","Tanya Beths","http://dbpedia.org/resource/Brisbane"
"http://dbpedia.org/resource/Skopje","Žarko Peševski","http://dbpedia.org/resource/Skopje"
"http://dbpedia.org/resource/Lund","Andreas Palicka","http://dbpedia.org/resource/Lund"
"http://dbpedia.org/resource/Skopje","Antonio Peševski","http://dbpedia.org/resource/Skopje"
"http://dbpedia.org/resource/Skopje","Bojan Madzovski","http://dbpedia.org/resource/Skopje"
"http://dbpedia.org/resource/Skopje","Borjan Madzovski","http://dbpedia.org/resource/Skopje"
"http://dbpedia.org/resource/Bitola","Filip Kuzmanovski","http://dbpedia.org/resource/Bitola"
"http://dbpedia.org/resource/Randers","Frederik Børm","http://dbpedia.org/resource/Randers"
"http://dbpedia.org/resource/Veles_(city)","Kostadin Petrov","http://dbpedia.org/resource/Veles_(city)"
"http://dbpedia.org/resource/Ogulin","Luka Cindrić","http://dbpedia.org/resource/Ogulin"
"http://dbpedia.org/resource/Kavadarci","Milan Levov","http://dbpedia.org/resource/Kavadarci"
"http://dbpedia.org/resource/Split,_Croatia","Nikola Kedžo","http://dbpedia.org/resource/Split,_Croatia"
"","Stefan Kimevski","http://dbpedia.org/resource/Kumanovo"
"http://dbpedia.org/resource/Belgrade","Vanja Ilić","http://dbpedia.org/resource/Belgrade"
"","Beatrix Balogh",""
"","Beatrix Imre",""
"http://dbpedia.org/resource/Romania","Bianca Tiron","http://dbpedia.org/resource/Romania"
"http://dbpedia.org/resource/Copenhagen","Casper Ulrich Mortensen","http://dbpedia.org/resource/Copenhagen"
"","David Davis (handballer)",""
