"Wikipage revision ID","builder","label","Wikipage page ID"
"683961226","http://dbpedia.org/resource/Kingdom_of_France","Fort Lupin","47756851"
"681801097","","Forte del Santissimo Salvatore","47571114"
"681801139","http://dbpedia.org/resource/Kingdom_of_Sicily","Fortezza del Tocco","47778605"
"681812083","http://dbpedia.org/resource/Byzantine_Empire","Fortifications of Chania","47624813"
"678441330","","Fortifications of Heraklion","47655301"
"678352493","http://dbpedia.org/resource/Kingdom_of_Sicily","Fortifications of Messina","47571658"
"683643740","http://dbpedia.org/resource/Emirate_of_Sicily","Fortino di Mazzallakkar","47778184"
"672942379","","Fresnoy Redoubt","47097174"
"681040594","","Għallis Battery","47085583"
"681041891","","Naxxar Entrenchment","47802983"
"681041652","","Pinto Battery","47078888"
"675812577","Muslim forces of Adil Shah, conquered and destroyed by the Portuguese in 1549, rebuilt by forces of Shivaji in 1675.","Forte de Pondá","47470760"
"","","Qalet Marku Battery","47084903"
"","","Qalet Marku Redoubt","47085579"
"681041692","","Ramla Left Battery","47094697"
"681041741","","Ramla Redoubt","47094695"
"681041705","","Ramla Right Battery","47094690"
"681796826","","Saint George Redoubt","47085798"
"675137111","http://dbpedia.org/resource/Knights_Hospitaller","Saint Mary's Battery (Marsalforn)","47100704"
"672943553","http://dbpedia.org/resource/Knights_Hospitaller","Saint Mary's Redoubt","47097354"
