"label","binomial","Wikipage revision ID","binomial authority","classis","familia","Wikipage page ID"
"Erythraeus moeritzensis","Erythraeus moeritzensis","683403208","Haitlinger, 2007","Arachnida","http://dbpedia.org/resource/Erythraeidae","47972876"
"Glenognatha","","679846228","","Arachnida","http://dbpedia.org/resource/Long-jawed_orb_weaver","47743142"
"Hyalomma dromedarii","Hyalomma dromedarii","678742638","C. L. Koch, 1844","Arachnida","http://dbpedia.org/resource/Ixodidae","47678565"
"Indoxysticus","","673943141","","","","47392518"
"Kibramoa","","670114359","","","","47132331"
"Leptus pozzoicus","Leptus pozzoicus","678738510","Ryszard, 2007","Arachnida","http://dbpedia.org/resource/Erythraeidae","47674230"
"Orsonwelles graphicus","","679056409","","","","47686756"
"Orsonwelles malus","","681374229","","","","47691978"
"Orsonwelles torosus","","679259242","","","","47686806"
"Oxyopes","","680546754","","http://dbpedia.org/resource/Arachnid","http://dbpedia.org/resource/Lynx_spider","47780836"
"Oxyopes macilentus","Oxyopes macilentus","680504352","L. Koch, 1878","http://dbpedia.org/resource/Arachnid","http://dbpedia.org/resource/Lynx_spider","47757053"
"Oxytate","","674332677","","","","47391300"
"Plectreurys","","669683145","","http://dbpedia.org/resource/Arachnid","","47132315"
"Plectreurys castanea","","670114616","","","","47132390"
"Psilochorus hesperus","Psilochorus hesperus","669683905","","","","47132231"
"Selenops rosario","S. rosario","681812089","G. G. Alayón, 2005","http://dbpedia.org/resource/Arachnid","Selenopidae","47866149"
"Xiombarg plaumanni","","673594193","","","","47361492"
"Aenigma (spider)","","","","","",""
"Archaeidae","","681420607","","","","5914460"
"Iona (spider)","","551416597","","","","5826164"
