"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Uttar_Pradesh","http://dbpedia.org/resource/Uttar_Pradesh","Aamir Gani"
"http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladesh","Abdul Halim (cricketer)"
"http://dbpedia.org/resource/United_Arab_Emirates","http://dbpedia.org/resource/United_Arab_Emirates","Abdul Shakoor (cricketer)"
"","","Abhik Patwa"
"","","Aby John"
"http://dbpedia.org/resource/Isle_of_Wight","Newport, Isle of Wight, England","Adam Hose"
"","","Adeleke Oyede"
"","","Ademola Onikoyi"
"","","Adnan Butt"
"","","Alessandro Morris"
"http://dbpedia.org/resource/Subiaco,_Western_Australia","Subiaco, Western Australia, Australia","Alex Hepburn (cricketer)"
"http://dbpedia.org/resource/Irvine,_North_Ayrshire","http://dbpedia.org/resource/Irvine,_North_Ayrshire","Allan Haggo"
"","","Ally Kimote"
"http://dbpedia.org/resource/Sialkot","http://dbpedia.org/resource/Sialkot","Amad Butt"
"","","Andrew Dewhurst"
"","","Andrew Mansale"
"","","Angela Venturini"
"http://dbpedia.org/resource/Chhatarpur","http://dbpedia.org/resource/Chhatarpur","Anshuman Pandey"
"","","Anwar Rahman"
"","","Arshan Jasani"
