"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Hong_Kong","http://dbpedia.org/resource/Hong_Kong","Andy Yan"
"http://dbpedia.org/resource/Italy","","Antonio d'Amico"
"","","Augie Pabst, III"
"http://dbpedia.org/resource/Scotland","","Barry Horne (racing driver)"
"http://dbpedia.org/resource/Boca_Raton,_Florida","http://dbpedia.org/resource/Boca_Raton,_Florida","Dalton Sargeant"
"","","David Ashby (speedway rider)"
"http://dbpedia.org/resource/Barcelona","","David Cebrián"
"","http://dbpedia.org/resource/Antigonish,_Nova_Scotia","Donald Chisholm (racing driver)"
"http://dbpedia.org/resource/Budapest","","Dániel Nagy (racing driver)"
"","","Enrico Anselmi"
"http://dbpedia.org/resource/Szekszárd","","Ferenc Ficza"
"http://dbpedia.org/resource/Italy","","Gabriele Marotta"
"http://dbpedia.org/resource/Kaohsiung","","George Chou"
"","","Harrison Newey"
"","","Henry Kwong"
"http://dbpedia.org/resource/Russia","","Ildar Rakhmatullin (racing driver)"
"http://dbpedia.org/resource/Melbourne","","Jack Le Brocq"
"http://dbpedia.org/resource/Macau","http://dbpedia.org/resource/Macau","Jerónimo Badaraco"
"","http://dbpedia.org/resource/Halifax,_Nova_Scotia","John Flemming (racing driver)"
"http://dbpedia.org/resource/Ramona,_California","http://dbpedia.org/resource/Ramona,_California","Johnny Borneman III"
