"Link from a Wikipage to an external page","owner","label","opened","Wikipage revision ID","Wikipage page ID"
"http://www.fcbanants.am/?page=page&id=12&lang=am","http://dbpedia.org/resource/FC_Banants","Banants Training Centre","2004","681430529","46443829"
"http://studio188.com.au/","","Baptist Church, Ipswich","","679954120","46669318"
"http://1ua.com.ua/c25453","","Baryliv","","655823509","46371650"
"http://baseballheavenli.com","","Baseball Heaven","","661856002","46302125"
"","","Notre-Dame de Genève","","",""
"http://1ua.com.ua/c25095","","Basivka","","680531743","47784824"
"http://www.batchewana.ca/","","Batchewana First Nation of Ojibways","","674006283","46819415"
"http://www.gobearkats.com/SportSelect.dbml?&DB_OEM_ID=19900&SPID=11350&SPSID=92983","","Bearkat Softball Complex","","659815436","46542595"
"","","Beaverton City Library","","",""
"http://beenleighhistoricalvillage.com.au/","","Beenleigh Historical Village","","667978444","45710682"
"","","Believers Church Medical College Hospital","","",""
"","","Museo de Arte Precolombino Felipe Orlando de Benalmádena","","",""
"","","Bengtsfors Church","","661148819","46590884"
"http://www.beth-tzedec.org/","","Beth Tzedec Congregation","","669075154","46532473"
"http://www.bethanialutheran.org.au/","","Bethania Lutheran Church","","671222421","45710965"
"","","Bexhövede","","670808280","46831557"
"","","Bharat Kala Bhavan","","",""
"","","Bhidauni","","",""
"http://www.bayerns-mitte.de/index.php?pageid=17&zv=3&id=4/","","Biberg (Kipfenberg)","","657111702","45707014"
"","","Biblical Museum of Natural History","","",""
