"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://qq5td7he6s.scholar.serialssolutions.com/?sid=google&auinit=BC&aulast=Legum&atitle=Down+the+Road+Toward+Human+Decency:+Eighth+Amendment+Proportionality+Analysis+and+Solem+v.+Helm&title=Georgia+law+review+%28Athens,+Ga.+:+1966%29&volume=18&date=1983&spage=109&issn=0016-8300","Solem v. Helm","669602451","3066151"
"","United Mine Workers of America v. Bagwell","",""
"http://www.archive.org/stream/tariffactof1890c00unitrich/#page/n98/mode/1up/search/worsted","United States v. Ballin","679477818","26088880"
"http://www.usdoj.gov/osg/briefs/2003/3mer/2mer/2003-0167.mer.ja.html","United States v. Dominguez Benitez","645383348","646513"
"","Michigan v. Long","","970189"
"","Perry v. Sindermann","",""
"","Apprendi v. New Jersey","603313005","949571"
"","Branzburg v. Hayes","","918570"
"","Chaplinsky v. New Hampshire","",""
"","Kramer v. Union Free School District No. 15","",""
"","Lee v. Weisman","",""
"","Brentwood Academy v. Tennessee Secondary School Athletic Ass'n","",""
"http://caselaw.lp.findlaw.com/scripts/getcase.pl?navby=CASE&court=US&vol=498&page=192","Cheek v. United States","660275348","3228538"
"","Caso Ciudadanos Unidos contra Comisión de Elecciones Federales","",""
"http://supreme.justia.com/us/113/659/case.html","Flagg v. Walker","644650402","20404986"
"","Georgia v. South Carolina (1990)","645229093","31157966"
"http://supreme.justia.com/us/113/9/case.html","Head v. Amoskeag Manufacturing Co.","644650458","13704764"
"http://www.law.cornell.edu/uscode/9/usc_sup_01_9_10_1.html","Prima Paint Corp. v. Flood & Conklin Manufacturing Co.","644786627","20131622"
"","Rivera v. Illinois","645400443","21662862"
"","Smith v. Doe","","2285594"
