"label","Wikipage page ID","Wikipage revision ID"
"Anda Circle","43281024","662553818"
"Henlys Corner","39849711","682463330"
"Kalma Underpass, Lahore","39250138","632578120"
"Telugu Talli Flyover","43413857","669935826"
"Kennedy Interchange","",""
"Pirwadhai Mor Flyover and Underpass","39463715","578341970"
"MacArthur Maze","",""
"Can of Worms (interchange)","",""
"Central Motorway Junction","",""
"Zero Point Interchange","",""
"Chandni Chowk Flyover","",""
"Kalma Chowk Flyover","",""
"御殿場インターチェンジ","41682134","595681346"
"Victory Circle","",""
"Horseshoe Project","37660527","672737866"
"Ako Adjei Interchange","",""
"Geha Interchange","",""
"Ivanja Reka interchange","",""
"Jankomir interchange","",""
"Sredanci interchange","",""
