"label","Sterbedatum","Geburtsdatum"
"Roy Hearn","1978-08-18","1908-02-22"
"Roy Henry (footballer)","1987-11-25","1907-05-30"
"Roy McDougall","1993-11-15","1907-07-02"
"Roy Snell","1977-04-03","1901-03-25"
"Seamus Maloney","",""
"Shaun Baxter (Australian rules footballer)","",""
"Ted Greeves","",""
"Ted Shiels","1987-10-09","1908-06-25"
"Tom Fields","","1992-12-19"
"Tom Harrington","1988-11-29","1908-09-13"
"Tom Hickey (footballer, born 1901)","1935-09-14","1901-12-20"
"Tom Laurenson","1969-01-14","1906-10-16"
"Tom McCaffrey","1975-02-05","1905-12-21"
"Tom McNeil","",""
"Tom Meehan (footballer, born 1909)","1957-04-24","1909-03-11"
"Tommy Pratt","1992-08-24","1905-10-10"
"Alan Byron","1982-03-11","1936-10-08"
"Alan Irwin","1970-07-02","1889-02-20"
"Alan Randall","2000-05-24","1925-04-24"
"Alan Teasdale","","1944-07-15"
