"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"47528895","http://www.motcmpb.gov.tw/MOTCMPBWeb/wSite/mp?mp=2","676152663","交通部航港局"
"47048348","http://www.skw.gov.pl","681150866","Służba Kontrwywiadu Wojskowego"
"47090538","http://www.mcit.gov.mm","677774945","Ministry of Communications and Information Technology (Myanmar)"
"47090584","","677774952","Ministry of Cooperatives (Myanmar)"
"47090605","","679419099","Ministry of Culture (Myanmar)"
"47090617","http://www.moep.gov.mm","677774960","Ministry of Electric Power"
"45332224","","672850963","Ministry of Environment and Water (Bulgaria)"
"47090623","","679310293","Ministry of Finance (Myanmar)"
"47101768","http://gender.govmu.org/","669174768","Ministry of Gender Equality, Child Development and Family Welfare"
"47090666","http://www.mip.gov.mm","677774971","Ministry of Immigration and Population"
"45406823","http://www.moi.gov.bd/","667844410","Ministry of Information (Bangladesh)"
"47090680","http://www.mining.gov.mm/Minister_Office/Default.asp","677774973","Ministry of Mines (Myanmar)"
"47090389","http://www.mnped.gov.mm","677774943","Ministry of National Planning and Economic Development"
"47090691","","677774979","Ministry of Science and Technology (Myanmar)"
"47277524","http://www.skilldevelopment.gov.in","682540559","Ministry of Skill Development and Entrepreneurship"
"47090699","http://www.dsw.gov.mm","677774986","Ministry of Social Welfare, Relief and Resettlement"
"47090711","http://www.mosports.gov.mm","677774994","Ministry of Sports (Myanmar)"
"47217409","http://www.primature.gouv.ht/","671123052","Ministry of Worship (Haiti)"
"","","","National Centers for Environmental Information"
"47528626","http://www.epa.gov/compliance/environmentaljustice/nejac/","677375140","National Environmental Justice Advisory Council"
