"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"2015 Sioux Falls Storm season","45436465","682319211","http://www.siouxfallsstorm.com/"
"2015 Tri-Cities Fever season","45446262","677277065","http://tricitiesfever.com/"
"2015 Wichita Falls Nighthawks season","45446453","667514474","http://www.wfnighthawks.com/"
"2011 Omaha Beef season","47317873","682242131","http://www.goifl.com/stats/historic-stats"
"2010 Billings Outlaws season","47825520","681174058","http://www.goifl.com/stats/historic-stats"
"2011 Wichita Wild season","47579661","677704343","http://www.goifl.com/historic_stats"
"1923 Frankford Yellow Jackets season","33453505","583529767",""
"1969 Cleveland Browns season","10652161","660335407",""
"1973 San Diego Chargers season","15386310","660688202",""
"1988 Hamilton Tiger-Cats season","30250923","675802441",""
"1992 Green Bay Packers season","14649522","682793196","http://www.sportsecyclopedia.com/nfl/gb/packers.html"
"1994 Denver Broncos season","17861219","677530430","http://www.pro-football-reference.com/teams/den/1994.htm"
"1996 Washington Redskins season","14609917","645205250",""
"1998 Barcelona Dragons season","24777207","640312182",""
"2006 Amsterdam Admirals season","10371197","619219241",""
"2008 New York Giants season","15581223","678758637","http://www.nfl.com/gamecenter?game_id=29727&season=2008&displayPage=tab_gamecenter"
"2010 Bossier–Shreveport Battle Wings season","26594318","566219954","http://www.battlewings.com/news/index.html?article_id=493"
"2012 Philadelphia Soul season","34485200","592807951",""
"Tampa Bay Buccaneers 2012","34235293","678408038","http://www.buccaneers.com"
"2012 Washington Redskins season","34248404","678481155","http://www.redskins.com"
