"Wikipage page ID","Wikipage revision ID","label"
"47165183","672519365","Amblymora strandiella"
"47165196","672519496","Amblymora uniformis"
"47165201","672519693","Amblymora v-flava"
"47518909","680652253","Amblyocarenum nuragicus"
"47413991","674361869","Amblypalpis olivierella"
"47413994","674390161","Amblypalpis tamaricella"
"","","Among Men"
"47186192","683149389","Anacampsinae"
"47165246","672519851","Anacasta biplagiata"
"47165247","672519998","Anacasta conspersa"
"47175674","670338130","Anadara diluvii"
"47165258","672520156","Anaespogonius fulvus"
"47165261","672520286","Anaespogonius piceonigris"
"47165274","672520456","Anaesthetis anatolica"
"47165277","672520611","Anaesthetis confossicollis"
"47165278","672520943","Anaesthetis flavipilis"
"47165280","672521264","Anaesthetis lanuginosa"
"47165281","672521438","Anaesthetis lepida"
"47165324","672521617","Anaesthetobrium fuscoflavum"
"47165327","672521758","Anaesthetobrium javanicum"
