"Sterbedatum","Geburtsdatum","label"
"1865-03-23","1796-11-17","Sir Henry Willoughby, 3rd Baronet"
"1891-11-28","1826-09-08","Sir James Corry, 1st Baronet"
"1689-02-01","1642","Sir John Borlase, 2nd Baronet"
"1683-08-22","1628-03-20","Sir John Hobart, 3rd Baronet"
"","","Sir John Kennaway, 1st Baronet"
"1942-08-27","1877-09-17","Sir Joseph McConnell, 2nd Baronet"
"1963-07-31","1880-03-03","Sir Robert Chapman, 1st Baronet"
"1935-09-15","1862-09-21","Sir Thomas Esmonde, 11th Baronet"
"1733","1693","Sir Thomas Grosvenor, 5th Baronet"
"1847-01-28","1771-04-29","Sir William Chaytor, 1st Baronet"
"1871-02-09","1805-02-07","Sir William Chaytor, 2nd Baronet"
"1712-02-27","1645-01-09","Sir William Villiers, 3rd Baronet"
"1775-01-20","1694-10-26","Sir George Oxenden, 5th Baronet"
"1769","1701","Sir John Guise, 4th Baronet"
"1696","1654","Sir Richard Atkins, 2nd Baronet"
"1947-06-06","1894-04-03","Alexander Erskine-Hill"
"","","Andrew Armstrong"
"","","August Cayzer"
"1828","1752","Cecil Bisshopp, 12th Baron Zouche"
"","","Colbrand baronets"
