"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"913272","http://www.la84foundation.org/5va/reports_frmst.htm","671302732","Athletics at the 2004 Summer Olympics – Men's 400 metres"
"913276","http://www.iaaf.org/oly04/results/byevent.html","551252149","Athletics at the 2004 Summer Olympics – Men's 400 metres hurdles"
"913301","http://www.iaaf.org/oly04/results/byevent.html","625256101","Athletics at the 2004 Summer Olympics – Men's 4 × 400 metres relay"
"913289","http://www.la84foundation.org/5va/reports_frmst.htm","578839825","Athletics at the 2004 Summer Olympics – Men's 5000 metres"
"913282","http://www.la84foundation.org/5va/reports_frmst.htm","669154229","Athletics at the 2004 Summer Olympics – Men's 800 metres"
"913295","http://www.iaaf.org/oly04/results/byevent.html","606211062","Athletics at the 2004 Summer Olympics – Women's 10,000 metres"
"913270","http://www.la84foundation.org/5va/reports_frmst.htm","669154242","Athletics at the 2004 Summer Olympics – Women's 200 metres"
"913274","http://www.la84foundation.org/5va/reports_frmst.htm","669154250","Athletics at the 2004 Summer Olympics – Women's 400 metres"
"913300","http://www.iaaf.org/oly04/results/byevent.html","655396461","Athletics at the 2004 Summer Olympics – Women's 4 × 100 metres relay"
"913283","http://news.bbc.co.uk/sport1/hi/olympics_2004/athletics/3584580.stm","617288522","Athletics at the 2004 Summer Olympics – Women's 800 metres"
"","","","Cycling at the 1908 Summer Olympics"
"","","","Figure skating at the 1920 Summer Olympics"
"935505","","","Ice hockey at the 1924 Winter Olympics"
"930229","","682986452","Jeu de paume at the 1908 Summer Olympics"
"940671","","","Lacrosse at the 1908 Summer Olympics"
"933236","","","Polo at the 1908 Summer Olympics"
"930329","http://users.skynet.be/hermandw/olymp/rac1908.html","682986930","Rackets at the 1908 Summer Olympics"
"986297","http://www.la84foundation.org/5va/reports_frmst.htm","551253301","Rowing at the 2004 Summer Olympics – Men's coxless four"
"987531","http://www.la84foundation.org/5va/reports_frmst.htm","680301891","Rowing at the 2004 Summer Olympics – Men's eight"
"987534","http://www.la84foundation.org/5va/reports_frmst.htm","551253348","Rowing at the 2004 Summer Olympics – Men's lightweight coxless four"
