"Wikipage page ID","base","Link from a Wikipage to an external page","Wikipage revision ID","dec","label"
"47543822","Earth","http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02124.01&type=KEPLER_CANDIDATE","680033465","49.3798","KOI-2124.01"
"47537627","Earth","","678350878","49.5758","KOI-7617.01"
"47546291","Earth","http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-445+b","682376399","","Kepler-445b"
"47546096","","","683695272","","Kepler-445c"
"47545040","Earth","http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-445+d&type=CONFIRMED_PLANET","682376689","","Kepler-445d"
"47318483","","","673385659","","Kepler-452"
"47312460","","","673022828","","Lincoln Calibration Sphere 1"
"47293002","","http://articles.adsabs.harvard.edu/cgi-bin/nph-iarticle_query?1990A%26A...233..372B&amp;data_type=PDF_HIGH&amp;whole_paper=YES&amp;type=PRINTER&amp;filetype=.pdf","680628264","","NGC 3059"
"47269272","","","672105859","","NGC 4451"
"47277905","","","672194352","","NGC 4534"
"47556172","","","","","NGC 95"
"47485661","","","675416549","","NW Puppis"
"47486581","","","675417671","","PT Puppis"
"47141504","","","671132000","","Прогресс М-28М"
"47552191","","","676808378","","QX Normae"
"47277062","","","672175244","","RU Ursae Minoris"
"47295185","","","672408735","","RV Corvi"
"47296221","","","672417892","","SX Corvi"
"47506272","","","675750926","","S Coronae Australis"
"47294125","","","672377054","","TU Corvi"
