"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Furillen","671395216","http://www.furillen.com/","47066153"
"Närkholm","668613560","http://www.nar.se/index.html","47075446"
"Burnside Island","671372731","","47218817"
"Gberefu Island","","","47511040"
"Zourafa","682602624","","47179900"
"Caucahue island","669295765","","47111552"
"Chowra","675975332","","47346130"
"Dovhyi Island","681367727","","47819652"
"Isla Guachinanga","683729164","","47696001"
"List of shipwrecks in the Channel Islands","683668089","","47710088"
"Näsudden","668813862","http://bbb.ma/watch/xB7NoQy405E","47087138"
"Sarstoon Island","681319028","","47798869"
"Tendra Spit","","","47844335"
"Yahorlyk Kut","681438014","https://web.archive.org/web/20150917062400/http:/artkavun.kherson.ua/vidgoloski-dalekoi-borisfenidi.htm","47845954"
"Acheron Island","","",""
"Ada Ciganlija","","",""
"Adams Island, New Zealand","","",""
"アデレード島 (ロシア連邦)","","",""
"Adele Island (New Zealand)","643919478","","40718972"
"Adele Island (Western Australia)","675760051","","22048421"
