"Geburtsort","label","Sterbedatum"
"http://dbpedia.org/resource/Yorkshire","George Orange","2013-01-17"
"http://dbpedia.org/resource/Seoul","具聖潤",""
"http://dbpedia.org/resource/Reggio_Emilia","هاشم مستور",""
"http://dbpedia.org/resource/Lisbon","Hildeberto Pereira",""
"http://dbpedia.org/resource/Nyzhankovychi","Ihor Duts",""
"http://dbpedia.org/resource/London_Borough_of_Brent","James Akintunde",""
"http://dbpedia.org/resource/Almenara,_Castellón","Jaume Domènech",""
"http://dbpedia.org/resource/Salvador,_Bahia","Jean Paulo Fernandes Filho",""
"http://dbpedia.org/resource/Bolton","Joel Coleman",""
"http://dbpedia.org/resource/Kirkdale,_Liverpool","Кенни, Джонджо",""
"http://dbpedia.org/resource/Getafe","José Antonio Miranda",""
"http://dbpedia.org/resource/Plano,_Texas","Kingsley Bryce",""
"http://dbpedia.org/resource/Surin_Province","Kittipong Wongma",""
"http://dbpedia.org/resource/Cameroon_national_football_team","Kombi Mandjang",""
"http://dbpedia.org/resource/Greece","Kyriakos Andreopoulos",""
"http://dbpedia.org/resource/Lisbon","Leonardo Da Silva Lopes",""
"http://dbpedia.org/resource/Perth","Lewis Italiano",""
"http://dbpedia.org/resource/Dalian","Li Dongna",""
"http://dbpedia.org/resource/Bragança,_Pará","Lucas Gomes da Silva",""
"http://dbpedia.org/resource/Samara,_Russia","Maksim Kuźmin",""
