"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Phoenix,_Arizona","http://dbpedia.org/resource/Phoenix,_Arizona","Courtney Ekmark"
"","","Frank Young (basketball)"
"","","Kenneth Tolon II"
"","","Allan Evridge"
"http://dbpedia.org/resource/Allen_Park,_Michigan","http://dbpedia.org/resource/Allen_Park,_Michigan","Amanda Chidester"
"","","James Eayrs"
"","","Anne Thorius"
"","","Ed Voss"
"","","Breanna Stewart"
"","","Gay Elmore"
"","","Churchill Odia"
"","","Erling Platou"
"","","Joe Griffin"
"","","Divya Singh"
"","","Mike Klinkenborg"
"","","Bret Stafford"
"","","Ben McLaughlin"
"","","Lowell Hamilton"
"","","Shea Morenz"
"","","Yous Mbao"
