"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"683136406","47785404","http://www.iisl.it/Biblioteca%20Clarence%20Bicknell/Biblioteca%20Bicknell.htm","Bicknell Museum"
"674001316","46754370","http://www.bigisland.ca/node/3","Big Island Mainland 93, Ontario"
"681473020","47727294","http://uplegisassembly.gov.in/default.htm","Bilari (Assembly constituency)"
"683432230","47888373","http://balangir.nic.in","Biripali"
"680653954","46573163","http://www.4coffshore.com/windfarms/block-island-wind-farm-united-states-us12.html","Block Island Wind Farm"
"675411147","46926901","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","Bokobá (municipio)"
"682178412","46234828","http://www.bonnevillehouse.com/","Bonneville House"
"665411436","46886668","http://nysparks.com/parks/187/details.aspx","Brentwood State Park"
"","46791124","","Broadway Plaza (Walnut Creek)"
"667841822","46366371","","Bryan Museum"
"675259580","45704762","http://w1.c1.rada.gov.ua/pls/z7503/A005?rdat1=27.04.2015&rf7571=19321","Buchaly"
"678212198","47645789","http://palamu.nic.in/block.html","Buchi Lami"
"","47894433","","Buddakan"
"670973246","47046537","http://www.archaeology.gov.lk","Buduruwagala Museum"
"665412776","46394045","http://nysparks.com/parks/191/details.aspx","Buffalo Harbor State Park"
"662955948","46739279","http://freguesia-bugalhos.net/","Bugalhos"
"","","","Bulstrad Arena"
"671035274","45647153","http://burnabyvelodromeclub.ca","Burnaby Velodrome"
"","","","Burnpur Cricket Club Ground"
"661591860","46638594","","Bäcke Church"
