"current league","ballpark","owners","Wikipage revision ID","city","Link from a Wikipage to an external page","label","Wikipage page ID"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Zach_Phelps","679031025","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1884.shtml","1884 Louisville Eclipse season","15525363"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Zach_Phelps","679117468","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1885.shtml","1885 Louisville Colonels season","15525511"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Zach_Phelps","679160425","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1886.shtml","1886 Louisville Colonels season","15536028"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Mordecai_Davidson","679184929","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1887.shtml","1887 Louisville Colonels season","15536055"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Mordecai_Davidson","679192271","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1888.shtml","1888 Louisville Colonels season","15536092"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","","679204987","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1890.shtml","1890 Louisville Colonels season","15536280"
"American Association American Association","http://dbpedia.org/resource/Eclipse_Park","","679272712","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1891.shtml","1891 Louisville Colonels season","15536385"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","678390979","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1892.shtml","1892 Louisville Colonels season","15536436"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","678382442","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1893.shtml","1893 Louisville Colonels season","15536592"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","678319448","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1894.shtml","1894 Louisville Colonels season","15536987"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","678278351","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1895.shtml","1895 Louisville Colonels season","15537035"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","678178546","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1896.shtml","1896 Louisville Colonels season","15537077"
"National League","http://dbpedia.org/resource/Eclipse_Park","","678037413","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1897.shtml","1897 Louisville Colonels season","15537255"
"National League","http://dbpedia.org/resource/Eclipse_Park","","678019068","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1898.shtml","1898 Louisville Colonels season","15537343"
"National League","http://dbpedia.org/resource/Eclipse_Park","http://dbpedia.org/resource/Barney_Dreyfuss","677812446","http://dbpedia.org/resource/Louisville,_Kentucky","http://www.baseball-reference.com/teams/LOU/1899.shtml","1899 Louisville Colonels season","15537400"
"","http://dbpedia.org/resource/Union_Grounds","","679441340","http://dbpedia.org/resource/Brooklyn","http://www.baseball-reference.com/teams/BRA/1875.shtml","1875 Brooklyn Atlantics season","25684029"
"","","","647475651","","http://www.cbl.org.cn/","2010 China Baseball League season","33901772"
"","","","633932058","","","1962 Nippon Professional Baseball season","37122938"
"National Association of Professional Base Ball Players","http://dbpedia.org/resource/Olympics_Grounds","","679520427","http://dbpedia.org/resource/Washington,_D.C.","http://www.baseball-reference.com/teams/WAS/1873.shtml","1873 Washington Blue Legs season","25758052"
"American Association American Association","http://dbpedia.org/resource/Congress_Street_Grounds","","679272404","http://dbpedia.org/resource/Boston","http://www.baseball-reference.com/teams/BOS/1891.shtml","1891 Boston Reds season","15706391"
