"Geburtsort","Geburtsdatum","birth place","label"
"http://dbpedia.org/resource/East_Riding_of_Yorkshire","1989-09-02","Hull, East Riding of Yorkshire, England","Tommy Coyle (boxer)"
"http://dbpedia.org/resource/Nottingham","1966-02-17","Nottingham, England","Wally Swift Jr"
"http://dbpedia.org/resource/Pinar_del_Río","","http://dbpedia.org/resource/Pinar_del_Río","Yunieski Gonzalez"
"http://dbpedia.org/resource/Qingdao","","http://dbpedia.org/resource/Qingdao","Zhang Junlong (boxer)"
"http://dbpedia.org/resource/Lambeth","1894-02-04","Lambeth, London, England","Curley Walker"
"http://dbpedia.org/resource/Lambeth","1974-03-19","Lambeth, London, England","Dazzo Williams"
"http://dbpedia.org/resource/Orlando,_Florida","1995-10-01","http://dbpedia.org/resource/Orlando,_Florida","Erickson Lubin"
"http://dbpedia.org/resource/Dominican_Republic","","http://dbpedia.org/resource/Dominican_Republic","Felix Valera"
"http://dbpedia.org/resource/Döttingen,_Aargau","","","Frank Erne"
"http://dbpedia.org/resource/Palawan","","http://dbpedia.org/resource/Palawan","Gretchen Abaniel"
"http://dbpedia.org/resource/Córdoba_Province,_Argentina","","Villa María, Córdoba, Argentina","Gustavo Ballas"
"http://dbpedia.org/resource/Dalian","","http://dbpedia.org/resource/Dalian","Ян Ляньхуэй"
"http://dbpedia.org/resource/Liverpool","1991-04-12","Liverpool, England","James Dickens (boxer)"
"http://dbpedia.org/resource/Apatzingán","","http://dbpedia.org/resource/Apatzingán","Javier Prieto"
"http://dbpedia.org/resource/Leeds","1894-02-08","Leeds, England","Joe Fox (boxer)"
"http://dbpedia.org/resource/Plymouth","","","Joe Symonds"
"http://dbpedia.org/resource/Abbeville","","Abbeville, Somme, France","Дюапа, Жоан"
"http://dbpedia.org/resource/Sheffield","1904-07-09","Sheffield, England","Johnny Cuthbert"
"","1896-11-11","","Mike Honeyman"
"http://dbpedia.org/resource/Haiti","1986-05-23","http://dbpedia.org/resource/Haiti","Schiller Hyppolite"
