"Wikipage revision ID","label","Wikipage page ID"
"659436399","1921年10月1日日食","25592540"
"659434751","1924年7月31日日食","25592662"
"655088362","1967年5月9日日食","25355549"
"659433021","Sonnenfinsternis vom 17. April 1996","25216812"
"659433390","1980年8月10日日食","25355204"
"659433470","2066年12月17日日食","25260236"
"659435714","1975年5月11日日食","25355298"
"659436864","Éclipse solaire du 2 septembre 2035","25287199"
"663212910","Solar eclipse of September 26, 2117","30734731"
"659433420","Sonnenfinsternis vom 11. August 2018","25164480"
"659433613","2084年12月27日日食","25260257"
"659434400","1954年1月5日日食","25355939"
"659434442","Sonnenfinsternis vom 1. Juli 2011","25151749"
"655090690","2083年7月15日日食","25531737"
"659436838","Zonsverduistering van 12 september 2072","25495886"
"663212655","2054年8月3日日食","25465575"
"659436321","2095年11月27日日食","25427092"
"659436725","1951年9月1日日食","25356023"
"659433734","Sonnenfinsternis vom 15. Februar 2018","25164460"
"659435290","1956年6月8日日食","25355918"
