"Wikipage revision ID","label","Wikipage page ID"
"673379708","Lycopodium hickeyi","47348109"
"","Lycopodium lagopus","47343076"
"673725961","Omphalophloios","47374278"
"673378385","Diphasiastrum digitatum","25309899"
"676562657","Huperzia porophila","200139"
"626959665","Isoetes engelmannii","14783409"
"673282430","マンネンスギ","25299410"
"674062016","玉柏","31824521"
"","Selaginella densa",""
"","Selaginella moellendorffii",""
"623817813","Selaginella sellowii","12369537"
"","Selaginella carinata",""
"","Selaginella sericea",""
"366899263","Selaginella elmeri","27651403"
"678798741","Huperzia","199405"
"","Huperziaceae",""
"","Lycopodiaceae",""
"663722731","Selaginella denticulata","36775994"
"587567553","Huperzia varia","35827312"
"559464071","Selaginella asprella","28038435"
