"label","Geburtsort"
"David Cebrián","http://dbpedia.org/resource/Barcelona"
"Donald Chisholm (racing driver)",""
"Dániel Nagy (racing driver)","http://dbpedia.org/resource/Budapest"
"Enrico Anselmi",""
"Ferenc Ficza","http://dbpedia.org/resource/Szekszárd"
"Gabriele Marotta","http://dbpedia.org/resource/Italy"
"George Chou","http://dbpedia.org/resource/Kaohsiung"
"Harrison Newey",""
"Henry Kwong",""
"Ildar Rakhmatullin (racing driver)","http://dbpedia.org/resource/Russia"
"Jack Le Brocq","http://dbpedia.org/resource/Melbourne"
"Jerónimo Badaraco","http://dbpedia.org/resource/Macau"
"John Flemming (racing driver)",""
"Johnny Borneman III","http://dbpedia.org/resource/Ramona,_California"
"Kang Ling","http://dbpedia.org/resource/Jiangsu"
"Kenneth Lau (racing driver)","http://dbpedia.org/resource/Hong_Kong"
"Kenneth Ma (racing driver)","http://dbpedia.org/resource/Hong_Kong"
"Kenny Lee","http://dbpedia.org/resource/Kuala_Lumpur"
"Kenta Yamashita",""
"Konstantīns Calko","http://dbpedia.org/resource/Daugavpils"
