"Geburtsort","Sterbedatum","birth place","label"
"http://dbpedia.org/resource/Dalejów","1550","http://dbpedia.org/resource/Dalejów","Barbara Kolanka"
"","","","Beatrice d'Este"
"","","","Béatrice de Nuremberg"
"http://dbpedia.org/resource/Northumberland","","","Beatrix de Vesci"
"","1271-02-09","","Beatrix von Andechs-Meranien"
"","1535-04-04","","Beatrix von Baden"
"","","","Beatrix von Brandenburg"
"","","","Bello von Carcassonne"
"","1502-05-04","","Berthold II. von Landsberg"
"","","","Bianca Maria Visconti"
"","1431-05-06","","Boleslaus I. (Teschen)"
"","","","Charles III, Count of Alençon"
"","","","Charles III, Duke of Bourbon"
"","1285","","Christian III. (Oldenburg)"
"http://dbpedia.org/resource/Baden-Baden","1527-04-19","http://dbpedia.org/resource/Baden-Baden","Christoph I, Margrave of Baden-Baden"
"","","","Christoph II. (Baden-Rodemachern)"
"","","","Conan III, Duke of Brittany"
"","","","Conan I of Rennes"
"","","","Conrad I, Burgrave of Nuremberg"
"","0993-10-19","","Conrad I of Burgundy"
