"Geburtsort","death place","Sterbedatum","label","Sterbeort"
"http://dbpedia.org/resource/Sydney","Sydney, Australia","2006-08-11","Vic Patrick","http://dbpedia.org/resource/Sydney"
"","","","Andrew Lewis (boxing)",""
"","","","Andy Bell (boxer)",""
"","","","Billy Murray (boxer)",""
"http://dbpedia.org/resource/Arizona","","","Billy Wright (boxer)",""
"","","","Bombardier Billy Wells",""
"","","","Carlos Gallegos",""
"","","","Chalky Wright",""
"","","","David Price (Boxer)",""
"","","","Del Fontaine",""
"","","","Duke McKenzie",""
"","","","Ferenc Nagy (boxer)",""
"http://dbpedia.org/resource/Cumaná","","","Francisco Rodríguez (boxer, born 1945)",""
"","","","ゲビン・リース",""
"http://dbpedia.org/resource/Dark_Corner,_New_South_Wales","","","George Dawson (boxer)",""
"","","","George Dixon (boxer)",""
"","","","George Foster (boxer)",""
"","","","George Scott (boxer)",""
"","","","Ian Napa",""
"","","","Jack Sharkey",""
