"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.lovevda.it/en/database/8/castles-and-towers/saint-denis/cly-castle/1220","Cly castle","665351954","45653479"
"http://fortwiki.com/Fort_Saint_Clair","Fort St. Clair","660242936","46578489"
"","Mansfield Lahm Air National Guard Base","",""
"","Old Rainworth Fort","",""
"http://www.schloss-weesenstein.de/en/home/","Schloss Weesenstein","679946593","47737020"
"http://www.public.navy.mil/fcc-c10f/navcomtelsta/Pages/default.aspx","Riserva naturale orientata Sughereta di Niscemi","678022932","45521908"
"https://schlossbothmer.wordpress.com/","Schloss Bothmer","680346491","47273771"
"","Fort Carroll (Montana)","671339828","47233112"
"","Torre di Ligny","678355982","47254950"
"https://www.youtube.com/watch?v=4so8-qcRFuo","Tarġa Battery","675138196","47205311"
"","Xwejni Redoubt","675339979","47455301"
"","Arrias Battery","681041275","47093528"
"","Balbani Battery","675136319","47097261"
"","Baħar iċ-Ċagħaq Redoubt","681041397","47085635"
"","Briconet Redoubt","681041852","47092824"
"","Buġibba Battery","681041358","47093157"
"http://www.culturalheritage.gov.mt/filebank/inventory/Knights%20Fortifications/1431.pdf","Captain's Tower","681041992","47338339"
"","Del Fango Redoubt","672942631","47096689"
"","Elminiech Battery","675136376","47097262"
"","Fort Armstrong, Eastern Cape","683460905","47943616"
