"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"683584955","Federal Correctional Institution, Hazelton","47424975","http://www.bop.gov/iloc2/InmateFinderServlet?Transaction=IDSearch&needingMoreList=false&IDType=IRN&IDNumber=11772-030&x=101&y=28"
"675347450","Harsul Central Jail","47401495",""
"679799943","Gefängnis Schrassig","47327270",""
"","Detroit House of Corrections","",""
"681717580","Wehrmacht prison Anklam","47761241",""
"","New Bilibid Prison","",""
"","Prisión de Spaç","",""
"","Stanley Prison","",""
"","California Institution for Men","",""
"","California State Prison, Corcoran","",""
"","Clinton Correctional Facility","",""
"","Coxsackie Correctional Facility","",""
"","Chuckawalla Valley State Prison","",""
"","Correctional Training Facility","",""
"","Great Meadow Correctional Facility","",""
"","Unidad Eastham","",""
"","Federal Correctional Institution, Loretto","",""
"668027337","Metropolitan Correctional Center, New York","7745518",""
"","Northeastern Correctional Center","",""
"","Landsberg Prison","",""
