"part length","Wikipage page ID","origin","era","label","target","Wikipage revision ID","type","used by"
")","47659827","http://dbpedia.org/resource/France","17","18-pounder short gun","Sea, land","678413264","http://dbpedia.org/resource/Naval_artillery","http://dbpedia.org/resource/France"
"","47657782","","","3M-51 Alfa","","683239483","",""
"","47596503","","","5-ton 6x6 truck","","683031849","",""
"","47080952","","","6-ton 6x6 truck","","682005303","",""
"","","","","","","","",""
"","","","","","","","",""
"","47471735","","","Apple Widget","","675214847","5.25",""
"","47749084","","","Armoured Multi-Purpose Vehicle","","681118590","",""
"","","","","","","","",""
"","","","","","","","",""
"","47564412","","","BT-SV","","676833444","",""
"","","","","","","","",""
"","47657669","","","BZhRK Barguzin","","680666560","",""
"","47950389","France","","Canon de 4 Gribeauval","","683103581","","France"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","47763198","","","Dhanush howitzer","","680171790","",""
