"label","Wikipage page ID"
"Heidelberg West Football Club","42537234"
"Macleod Football Club",""
"Macquarie University AFC",""
"Wynnum Football Club",""
"Cheltenham Football Club",""
"",""
"Imperial Football Club",""
"Benalla Football Club",""
"Bundoora Football Club",""
"Maribyrnong Park Football Club",""
"Victoria Lions",""
"Midland Junction Football Club",""
"North Shore Football Club (GFL)","39417800"
"St Albans Football Club (GFL)","39417697"
"Caboolture Australian Football Club",""
"Dandenong Football Club",""
"Wunghnu Football Club",""
"Collingwood Park Australian Football Club",""
"Fremantle Football Club (1882–1886)",""
"Fremantle Football Club (1882–1899)",""
