"body style","Wikipage revision ID","label","class","Wikipage page ID","assembly"
"4","679069954","Eicher Polaris Multix","http://dbpedia.org/resource/Utility_vehicle","47664875","Kukas, Jaipur, India"
"","672728441","Electron T19","","47099824",""
"4","681107766","GM Omega platform","http://dbpedia.org/resource/Luxury_vehicle","47807962","http://dbpedia.org/resource/Detroit"
"4","678429908","Hyundai Creta","http://dbpedia.org/resource/Crossover_(automobile)","47081967",""
"","678189136","ヒュンダイ・クレタ","","47081595",""
"2","678580145","IKCO Arisun","Pickup car","47666256",""
"","683103863","Mahindra TUV300","","47836089","http://dbpedia.org/resource/Chakan,_Maharashtra"
"2","681738393","Morgan 3-Wheeler","http://dbpedia.org/resource/Three-wheeler","47075825","Malvern Link, Worcestershire, UK"
"","677462819","Scania OmniExpress","","47596751",""
"5","682997410","Tata GenX Nano","","47942905","Sanand Plant, Gujarat, India"
"","679032628","Tata Movus","","47691623","http://dbpedia.org/resource/Pantnagar"
"","679697609","Tata Safari Storme","","47725790","http://dbpedia.org/resource/Pantnagar"
"2","683746618","Ultima Evolution","http://dbpedia.org/resource/Sports_car","47083262",""
"","683607408","V12 Matra Sports engine","","47961869",""
"","681229965","ЗИЛ-4112Р","","47600104",""
"","","AEC Regent III RT","","",""
"","638842956","AEV Brute","","43128865",""
"","","Acura TL","","",""
"","","Alfa Romeo 2600","","",""
"","","Alfa Romeo GTA","","",""
