"Sterbeort","label","Sterbedatum","death place","Geburtsort"
"http://dbpedia.org/resource/Braunfels","William, Prince of Solms-Braunfels","1814-04-13","http://dbpedia.org/resource/Braunfels","http://dbpedia.org/resource/Braunfels"
"http://dbpedia.org/resource/Narayanganj","Zamindar Rohim Boksh Haji","","",""
"","Zsófia Szilágyi","","",""
"","Langalibalele","","",""
"","Abdullah I Al-Sabah","","",""
"","Abdullah I of Jordan","","",""
"","Ahmad Tajuddin","","",""
"","أحمد بن علي آل ثاني","","",""
"","Aiko, Princess Toshi","","",""
"","Amlaíb Cuarán","","",""
"","Annia Faustina","","",""
"","António, Prior of Crato","","",""
"","Arthur Cory-Wright","1951-04-21","",""
"","Bahadur Shah I","","",""
"","Bahadur Shah II","","",""
"","Balaji Vishwanath","","",""
"","Beatrix I. (Gandersheim)","","",""
"","Beatrice I, Countess of Burgundy","","",""
"","Beatrix von Bayern (1344–1359)","","",""
"http://dbpedia.org/resource/Oxford","Beatrix von Falkenburg","1277-10-17","http://dbpedia.org/resource/Oxford",""
