"label","Geburtsort","birth place"
"Günter Preuß","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Germany"
"Halim Mersini","http://dbpedia.org/resource/Vlorë","http://dbpedia.org/resource/Vlorë"
"Hossein Khatibi","http://dbpedia.org/resource/Tabriz","http://dbpedia.org/resource/Tabriz"
"Héctor Jara","http://dbpedia.org/resource/Chile","http://dbpedia.org/resource/Chile"
"Кичигин, Игорь Юрьевич","http://dbpedia.org/resource/Bukhara","http://dbpedia.org/resource/Bukhara"
"Цаплюк, Игорь Юрьевич","",""
"Ihor Korol","http://dbpedia.org/resource/Donetsk","http://dbpedia.org/resource/Donetsk"
"Ihor Lahoyda","",""
"Israel Halivner","",""
"Ivica Kulešević","http://dbpedia.org/resource/Osijek","http://dbpedia.org/resource/Osijek"
"Jakob Michelsen","http://dbpedia.org/resource/Tønder","http://dbpedia.org/resource/Tønder"
"Julinho Camargo","http://dbpedia.org/resource/Porto_Alegre","Porto Alegre , Brazil"
"","http://dbpedia.org/resource/Salzwedel",""
"Karuna Bhattacharya","",""
"Kirill Gashichev","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Les Horton","",""
"Les McJannet","http://dbpedia.org/resource/Cumnock","Cumnock, Scotland"
"Luka Pavlović","http://dbpedia.org/resource/Čapljina","http://dbpedia.org/resource/Čapljina"
"Manuel Romero Paz","http://dbpedia.org/resource/Madrid","Madrid, Spain"
"Markus Gellhaus","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Germany"
