"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Giessen","http://dbpedia.org/resource/Giessen","3Steps"
"","","AK 47 Mayanja"
"","","AR-Ab"
"http://dbpedia.org/resource/Mengo,_Uganda","","A Pass"
"","","Aalias"
"","","Aaron Diehl"
"","","Aaron Heick"
"http://dbpedia.org/resource/Greenville,_South_Carolina","http://dbpedia.org/resource/Greenville,_South_Carolina","Aaron Keyes"
"","","Abbas Almosawi"
"","Karachi","Abdullah Niazi Qawwal"
"","","Abigail Budak"
"http://dbpedia.org/resource/New_Orleans","http://dbpedia.org/resource/New_Orleans","Abigail Duhon"
"","Boston, Massachusetts, U.S.","Adam Birnbaum"
"http://dbpedia.org/resource/United_States","","Adam Gubman"
"http://dbpedia.org/resource/United_States","","Adam WarRock"
"","","Adrian Corker"
"","","Adriana Chechik"
"http://dbpedia.org/resource/New_York_City","New York, New York","Agnes Chavez"
"http://dbpedia.org/resource/Kachin_State","","Ah Moon"
"http://dbpedia.org/resource/Turkey","","Ahmet Enes"
